0.jpg	[{"transcription": "up", "points": [[654, 654], [699, 654], [699, 698], [654, 698]]}, {"transcription": "down", "points": [[649, 720], [694, 720], [694, 764], [649, 764]]}, {"transcription": "up", "points": [[235, 898], [276, 898], [276, 937], [235, 937]]}, {"transcription": "down", "points": [[234, 957], [276, 957], [276, 999], [234, 999]]}, {"transcription": "CH", "points": [[236, 859], [272, 859], [272, 896], [236, 896]]}, {"transcription": "1", "points": [[613, 353], [668, 353], [668, 432], [613, 432]]}, {"transcription": "5", "points": [[699, 350], [761, 350], [761, 430], [699, 430]]}, {"transcription": "up", "points": [[610, 442], [667, 442], [667, 511], [610, 511]]}, {"transcription": "down", "points": [[698, 440], [755, 440], [755, 512], [698, 512]]}]
1.jpg	[{"transcription": "close", "points": [[244, 321], [287, 321], [287, 359], [244, 359]]}, {"transcription": "alarm", "points": [[310, 318], [354, 318], [354, 354], [310, 354]]}, {"transcription": "open", "points": [[375, 315], [415, 315], [415, 349], [375, 349]]}, {"transcription": "B", "points": [[311, 272], [356, 272], [356, 312], [311, 312]]}, {"transcription": "G", "points": [[311, 224], [359, 224], [359, 268], [311, 268]]}, {"transcription": "1", "points": [[312, 169], [359, 169], [359, 211], [312, 211]]}, {"transcription": "2", "points": [[313, 110], [361, 110], [361, 157], [313, 157]]}, {"transcription": "empty", "points": [[316, 50], [362, 50], [362, 98], [316, 98]]}, {"transcription": "bt_keyhole", "points": [[314, 1], [369, 1], [369, 33], [314, 33]]}]
6.jpg	[{"transcription": "text_blur", "points": [[501, 235], [577, 235], [577, 296], [501, 296]]}, {"transcription": "text_close", "points": [[622, 230], [691, 230], [691, 292], [622, 292]]}, {"transcription": "4", "points": [[620, 334], [692, 334], [692, 387], [620, 387]]}, {"transcription": "3", "points": [[620, 397], [692, 397], [692, 452], [620, 452]]}, {"transcription": "2", "points": [[623, 461], [689, 461], [689, 514], [623, 514]]}, {"transcription": "1", "points": [[513, 404], [579, 404], [579, 459], [513, 459]]}, {"transcription": "G", "points": [[514, 467], [586, 467], [586, 524], [514, 524]]}, {"transcription": "empty", "points": [[513, 524], [584, 524], [584, 581], [513, 581]]}, {"transcription": "blur", "points": [[522, 584], [585, 584], [585, 644], [522, 644]]}, {"transcription": "blur", "points": [[573, 690], [639, 690], [639, 744], [573, 744]]}]
8.jpg	[{"transcription": "4", "points": [[356, 16], [450, 16], [450, 118], [356, 118]]}, {"transcription": "3", "points": [[227, 13], [322, 13], [322, 115], [227, 115]]}, {"transcription": "2", "points": [[353, 140], [436, 140], [436, 221], [353, 221]]}, {"transcription": "M", "points": [[241, 135], [326, 135], [326, 219], [241, 219]]}, {"transcription": "L", "points": [[351, 240], [426, 240], [426, 298], [351, 298]]}, {"transcription": "B", "points": [[250, 233], [326, 233], [326, 298], [250, 298]]}, {"transcription": "close", "points": [[391, 331], [462, 331], [462, 379], [391, 379]]}, {"transcription": "open", "points": [[306, 326], [373, 326], [373, 374], [306, 374]]}, {"transcription": "alarm", "points": [[221, 320], [285, 320], [285, 371], [221, 371]]}, {"transcription": "keyhole", "points": [[387, 396], [448, 396], [448, 445], [387, 445]]}, {"transcription": "keyhole", "points": [[306, 388], [368, 388], [368, 438], [306, 438]]}, {"transcription": "keyhole", "points": [[231, 384], [292, 384], [292, 433], [231, 433]]}]
9.jpg	[{"transcription": "up", "points": [[982, 704], [1315, 704], [1315, 1033], [982, 1033]]}, {"transcription": "bt_keyhole", "points": [[986, 1091], [1327, 1091], [1327, 1429], [986, 1429]]}]
11.jpg	[{"transcription": "2", "points": [[889, 199], [1062, 199], [1062, 404], [889, 404]]}, {"transcription": "alarm", "points": [[887, 777], [973, 777], [973, 855], [887, 855]]}, {"transcription": "14", "points": [[805, 889], [895, 889], [895, 964], [805, 964]]}, {"transcription": "15", "points": [[966, 883], [1046, 883], [1046, 958], [966, 958]]}, {"transcription": "13", "points": [[967, 977], [1048, 977], [1048, 1051], [967, 1051]]}, {"transcription": "12", "points": [[804, 987], [895, 987], [895, 1065], [804, 1065]]}, {"transcription": "10", "points": [[806, 1085], [895, 1085], [895, 1164], [806, 1164]]}, {"transcription": "11", "points": [[967, 1070], [1046, 1070], [1046, 1143], [967, 1143]]}, {"transcription": "9", "points": [[967, 1160], [1047, 1160], [1047, 1234], [967, 1234]]}, {"transcription": "8", "points": [[807, 1183], [895, 1183], [895, 1261], [807, 1261]]}, {"transcription": "7", "points": [[964, 1252], [1044, 1252], [1044, 1327], [964, 1327]]}, {"transcription": "6", "points": [[805, 1280], [896, 1280], [896, 1359], [805, 1359]]}, {"transcription": "5", "points": [[965, 1343], [1043, 1343], [1043, 1417], [965, 1417]]}, {"transcription": "4", "points": [[805, 1378], [896, 1378], [896, 1457], [805, 1457]]}, {"transcription": "2", "points": [[807, 1473], [895, 1473], [895, 1550], [807, 1550]]}, {"transcription": "3", "points": [[962, 1433], [1043, 1433], [1043, 1508], [962, 1508]]}, {"transcription": "1", "points": [[888, 1544], [971, 1544], [971, 1619], [888, 1619]]}, {"transcription": "open", "points": [[807, 1664], [895, 1664], [895, 1744], [807, 1744]]}, {"transcription": "close", "points": [[960, 1611], [1046, 1611], [1046, 1693], [960, 1693]]}]
12.jpg	[{"transcription": "call", "points": [[734, 294], [800, 294], [800, 353], [734, 353]]}, {"transcription": "CH", "points": [[1035, 280], [1118, 280], [1118, 359], [1035, 359]]}, {"transcription": "led", "points": [[804, 386], [998, 386], [998, 506], [804, 506]]}, {"transcription": "up", "points": [[804, 532], [879, 532], [879, 597], [804, 597]]}, {"transcription": "down", "points": [[948, 530], [1025, 530], [1025, 596], [948, 596]]}, {"transcription": "close", "points": [[976, 719], [1061, 719], [1061, 790], [976, 790]]}, {"transcription": "open", "points": [[861, 722], [967, 722], [967, 791], [861, 791]]}]
15.jpg	[{"transcription": "text_CALL", "points": [[111, 115], [167, 115], [167, 174], [111, 174]]}, {"transcription": "keyhole", "points": [[210, 119], [269, 119], [269, 177], [210, 177]]}, {"transcription": "unknown", "points": [[116, 236], [165, 236], [165, 281], [116, 281]]}, {"transcription": "keyhole", "points": [[315, 237], [360, 237], [360, 283], [315, 283]]}, {"transcription": "keyhole", "points": [[212, 338], [267, 338], [267, 394], [212, 394]]}, {"transcription": "7", "points": [[310, 337], [367, 337], [367, 395], [310, 395]]}, {"transcription": "6", "points": [[109, 339], [167, 339], [167, 394], [109, 394]]}, {"transcription": "5", "points": [[310, 404], [365, 404], [365, 460], [310, 460]]}, {"transcription": "4", "points": [[109, 404], [165, 404], [165, 459], [109, 459]]}, {"transcription": "3", "points": [[310, 470], [365, 470], [365, 525], [310, 525]]}, {"transcription": "2", "points": [[110, 470], [168, 470], [168, 525], [110, 525]]}, {"transcription": "L", "points": [[310, 537], [366, 537], [366, 592], [310, 592]]}, {"transcription": "B", "points": [[108, 535], [165, 535], [165, 591], [108, 591]]}, {"transcription": "text_open", "points": [[211, 533], [265, 533], [265, 589], [211, 589]]}, {"transcription": "text_stop", "points": [[309, 116], [368, 116], [368, 179], [309, 179]]}]
16.jpg	[{"transcription": "CH", "points": [[108, 352], [200, 352], [200, 449], [108, 449]]}, {"transcription": "call", "points": [[512, 327], [567, 327], [567, 385], [512, 385]]}, {"transcription": "close", "points": [[512, 400], [566, 400], [566, 454], [512, 454]]}, {"transcription": "open", "points": [[613, 399], [651, 399], [651, 450], [613, 450]]}, {"transcription": "alarm", "points": [[616, 328], [651, 328], [651, 379], [616, 379]]}, {"transcription": "1", "points": [[101, 264], [153, 264], [153, 317], [101, 317]]}, {"transcription": "6", "points": [[99, 188], [151, 188], [151, 245], [99, 245]]}, {"transcription": "7", "points": [[97, 114], [152, 114], [152, 172], [97, 172]]}, {"transcription": "25", "points": [[198, 184], [252, 184], [252, 245], [198, 245]]}, {"transcription": "26", "points": [[197, 110], [252, 110], [252, 168], [197, 168]]}, {"transcription": "27", "points": [[302, 257], [358, 257], [358, 314], [302, 314]]}, {"transcription": "28", "points": [[300, 182], [356, 182], [356, 240], [300, 240]]}, {"transcription": "29", "points": [[299, 107], [354, 107], [354, 165], [299, 165]]}, {"transcription": "30", "points": [[406, 254], [464, 254], [464, 312], [406, 312]]}, {"transcription": "31", "points": [[406, 181], [462, 181], [462, 237], [406, 237]]}, {"transcription": "32", "points": [[405, 104], [461, 104], [461, 164], [405, 164]]}, {"transcription": "33", "points": [[512, 256], [567, 256], [567, 311], [512, 311]]}, {"transcription": "34", "points": [[511, 180], [567, 180], [567, 237], [511, 237]]}, {"transcription": "35", "points": [[509, 105], [565, 105], [565, 162], [509, 162]]}, {"transcription": "8", "points": [[198, 259], [257, 259], [257, 316], [198, 316]]}]
17.jpg	[{"transcription": "1", "points": [[296, 11], [434, 11], [434, 146], [296, 146]]}, {"transcription": "0", "points": [[308, 173], [444, 173], [444, 311], [308, 311]]}, {"transcription": "-1", "points": [[317, 331], [448, 331], [448, 464], [317, 464]]}]
18.jpg	[{"transcription": "led", "points": [[272, 6], [398, 6], [398, 152], [272, 152]]}, {"transcription": "1", "points": [[251, 193], [294, 193], [294, 248], [251, 248]]}, {"transcription": "2", "points": [[299, 172], [344, 172], [344, 231], [299, 231]]}, {"transcription": "3", "points": [[350, 149], [401, 149], [401, 213], [350, 213]]}, {"transcription": "4", "points": [[246, 249], [291, 249], [291, 306], [246, 306]]}, {"transcription": "5", "points": [[293, 231], [342, 231], [342, 290], [293, 290]]}, {"transcription": "6", "points": [[348, 210], [404, 210], [404, 273], [348, 273]]}, {"transcription": "7", "points": [[239, 306], [288, 306], [288, 365], [239, 365]]}, {"transcription": "8", "points": [[287, 293], [344, 293], [344, 352], [287, 352]]}, {"transcription": "9", "points": [[343, 271], [403, 271], [403, 340], [343, 340]]}, {"transcription": "0", "points": [[283, 358], [335, 358], [335, 423], [283, 423]]}, {"transcription": "B", "points": [[230, 372], [280, 372], [280, 432], [230, 432]]}, {"transcription": "-", "points": [[339, 348], [400, 348], [400, 417], [339, 417]]}, {"transcription": "CH", "points": [[264, 438], [326, 438], [326, 480], [264, 480]]}]
